Filename,Sample in file (P-arrival),3-D Event distance from well (km),Local Magnitude,type
FORGE_78-32_iDASv3-P11_UTC190423150554.sgy,24169,3.636075,-0.578235,EQ
FORGE_78-32_iDASv3-P11_UTC190423182409.sgy,4210,4.14139,0.430612,EQ
FORGE_78-32_iDASv3-P11_UTC190423213209.sgy,1484,3.394402,0.910045,EQ
FORGE_78-32_iDASv3-P11_UTC190425042124.sgy,5559,2.12379,-1.238558,EQ
FORGE_78-32_iDASv3-P11_UTC190425062324.sgy,10103,10.567685,0.481657,EQ
FORGE_78-32_iDASv3-P11_UTC190426055953.sgy,5327,3.617766,-0.806659,EQ
FORGE_78-32_iDASv3-P11_UTC190426061538.sgy,8257,3.471298,-0.74033,EQ
FORGE_78-32_iDASv3-P11_UTC190426061538.sgy,23643,3.610443,-0.518243,EQ
FORGE_78-32_iDASv3-P11_UTC190426062038.sgy,431,3.343138,-0.778881,EQ
FORGE_78-32_iDASv3-P11_UTC190426062208.sgy,26090,3.573826,-0.077639,EQ
FORGE_78-32_iDASv3-P11_UTC190426062553.sgy,8934,3.614104,-0.815482,EQ
FORGE_78-32_iDASv3-P11_UTC190426062938.sgy,16500,3.628751,-0.812268,EQ
FORGE_78-32_iDASv3-P11_UTC190426063008.sgy,3453,3.577487,-0.326569,EQ
FORGE_78-32_iDASv3-P11_UTC190426063008.sgy,28968,3.32483,0.167063,EQ
FORGE_78-32_iDASv3-P11_UTC190426064623.sgy,23383,3.6873,-0.666822,EQ
FORGE_78-32_iDASv3-P11_UTC190426064823.sgy,28201,3.764234,-0.610409,EQ
FORGE_78-32_iDASv3-P11_UTC190426064838.sgy,-1802,3.775219,-0.419802,EQ
FORGE_78-32_iDASv3-P11_UTC190426064853.sgy,18711,3.416372,-0.031106,EQ
FORGE_78-32_iDASv3-P11_UTC190426065238.sgy,17677,3.32483,-0.63422,EQ
FORGE_78-32_iDASv3-P11_UTC190426070723.sgy,24811,3.427357,-0.060838,EQ
